Id,Bound
0,0
1,1
2,1
3,0
4,1
5,0
6,0
7,1
8,1
9,1
10,1
11,0
12,1
13,0
14,0
15,1
16,1
17,0
18,1
19,0
20,1
21,0
22,0
23,0
24,1
25,0
26,0
27,1
28,0
29,1
30,0
31,0
32,0
33,0
34,1
35,0
36,0
37,0
38,1
39,0
40,1
41,0
42,0
43,0
44,1
45,1
46,1
47,0
48,1
49,0
50,1
51,0
52,1
53,1
54,1
55,0
56,0
57,1
58,1
59,1
60,1
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,1
70,1
71,1
72,1
73,0
74,0
75,1
76,0
77,0
78,0
79,1
80,0
81,0
82,0
83,0
84,1
85,1
86,0
87,0
88,0
89,0
90,1
91,0
92,1
93,0
94,0
95,0
96,1
97,1
98,0
99,1
100,0
101,0
102,1
103,0
104,0
105,0
106,0
107,0
108,1
109,0
110,0
111,0
112,0
113,0
114,0
115,1
116,1
117,0
118,1
119,1
120,1
121,0
122,0
123,0
124,0
125,0
126,1
127,1
128,1
129,0
130,1
131,1
132,1
133,0
134,1
135,1
136,0
137,1
138,0
139,1
140,0
141,1
142,1
143,0
144,1
145,1
146,0
147,0
148,1
149,0
150,1
151,0
152,0
153,0
154,0
155,0
156,1
157,0
158,0
159,0
160,0
161,1
162,1
163,0
164,0
165,0
166,0
167,0
168,1
169,1
170,0
171,0
172,1
173,1
174,1
175,1
176,1
177,0
178,1
179,0
180,0
181,0
182,1
183,1
184,0
185,0
186,0
187,1
188,0
189,0
190,1
191,1
192,0
193,0
194,0
195,0
196,0
197,1
198,0
199,1
200,1
201,1
202,0
203,1
204,0
205,0
206,1
207,0
208,1
209,1
210,0
211,0
212,1
213,1
214,1
215,1
216,0
217,1
218,0
219,0
220,0
221,0
222,1
223,0
224,0
225,0
226,1
227,1
228,0
229,0
230,1
231,0
232,0
233,0
234,0
235,1
236,0
237,0
238,1
239,0
240,0
241,1
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,1
253,0
254,0
255,0
256,1
257,0
258,1
259,0
260,1
261,0
262,1
263,0
264,0
265,0
266,0
267,1
268,1
269,0
270,1
271,1
272,0
273,0
274,0
275,0
276,1
277,0
278,0
279,0
280,1
281,1
282,1
283,1
284,1
285,0
286,0
287,1
288,1
289,1
290,0
291,0
292,0
293,0
294,1
295,1
296,1
297,0
298,0
299,1
300,1
301,0
302,0
303,1
304,1
305,1
306,1
307,1
308,1
309,1
310,1
311,0
312,1
313,1
314,0
315,0
316,0
317,0
318,0
319,1
320,1
321,0
322,1
323,0
324,0
325,1
326,0
327,0
328,1
329,1
330,1
331,0
332,1
333,1
334,1
335,1
336,1
337,1
338,0
339,1
340,1
341,1
342,1
343,1
344,1
345,1
346,0
347,1
348,1
349,1
350,0
351,1
352,0
353,0
354,1
355,0
356,1
357,0
358,0
359,0
360,1
361,1
362,0
363,1
364,0
365,0
366,0
367,1
368,0
369,1
370,1
371,0
372,0
373,0
374,1
375,1
376,0
377,1
378,1
379,0
380,0
381,0
382,0
383,1
384,0
385,1
386,0
387,1
388,1
389,0
390,1
391,1
392,1
393,0
394,1
395,0
396,1
397,1
398,1
399,1
400,1
401,1
402,0
403,1
404,1
405,1
406,0
407,1
408,1
409,0
410,0
411,1
412,0
413,0
414,0
415,1
416,0
417,1
418,0
419,1
420,0
421,0
422,1
423,1
424,0
425,1
426,1
427,0
428,1
429,0
430,0
431,0
432,1
433,0
434,1
435,1
436,1
437,1
438,1
439,1
440,1
441,1
442,0
443,0
444,1
445,1
446,0
447,1
448,1
449,1
450,1
451,1
452,0
453,0
454,0
455,0
456,1
457,0
458,0
459,0
460,1
461,1
462,1
463,0
464,0
465,0
466,1
467,0
468,1
469,0
470,1
471,0
472,0
473,1
474,0
475,1
476,0
477,1
478,0
479,0
480,1
481,0
482,0
483,1
484,1
485,1
486,0
487,1
488,1
489,1
490,1
491,0
492,1
493,0
494,0
495,0
496,1
497,1
498,0
499,1
500,0
501,0
502,1
503,0
504,1
505,1
506,0
507,0
508,1
509,1
510,0
511,0
512,0
513,0
514,1
515,0
516,0
517,1
518,1
519,1
520,0
521,1
522,0
523,1
524,1
525,0
526,1
527,0
528,0
529,0
530,1
531,1
532,0
533,0
534,1
535,1
536,0
537,1
538,0
539,1
540,0
541,1
542,1
543,1
544,1
545,1
546,0
547,1
548,0
549,0
550,1
551,0
552,1
553,1
554,1
555,1
556,1
557,0
558,1
559,0
560,0
561,0
562,1
563,0
564,0
565,0
566,1
567,1
568,1
569,1
570,1
571,0
572,1
573,0
574,1
575,0
576,0
577,0
578,1
579,1
580,1
581,0
582,0
583,1
584,1
585,1
586,1
587,1
588,1
589,1
590,1
591,0
592,0
593,0
594,1
595,1
596,0
597,0
598,1
599,0
600,0
601,1
602,0
603,1
604,0
605,1
606,0
607,1
608,1
609,1
610,1
611,1
612,1
613,1
614,0
615,1
616,1
617,0
618,1
619,0
620,0
621,1
622,0
623,0
624,1
625,1
626,0
627,1
628,0
629,1
630,1
631,0
632,0
633,0
634,0
635,1
636,1
637,0
638,1
639,0
640,0
641,1
642,1
643,0
644,0
645,0
646,1
647,1
648,1
649,1
650,0
651,1
652,0
653,0
654,1
655,0
656,1
657,1
658,1
659,1
660,1
661,0
662,1
663,1
664,0
665,0
666,1
667,1
668,1
669,1
670,1
671,1
672,0
673,1
674,1
675,0
676,1
677,1
678,0
679,0
680,1
681,1
682,1
683,1
684,1
685,1
686,0
687,0
688,0
689,1
690,1
691,0
692,0
693,1
694,1
695,1
696,0
697,1
698,0
699,1
700,0
701,1
702,1
703,0
704,1
705,1
706,1
707,0
708,0
709,1
710,1
711,1
712,1
713,0
714,0
715,0
716,0
717,0
718,1
719,0
720,0
721,1
722,1
723,1
724,0
725,0
726,1
727,0
728,1
729,1
730,1
731,1
732,1
733,1
734,0
735,0
736,1
737,0
738,0
739,1
740,0
741,1
742,1
743,1
744,1
745,0
746,0
747,0
748,1
749,1
750,0
751,1
752,0
753,1
754,1
755,0
756,0
757,0
758,1
759,1
760,1
761,1
762,0
763,1
764,1
765,1
766,1
767,0
768,1
769,1
770,1
771,1
772,1
773,1
774,1
775,0
776,0
777,1
778,0
779,0
780,1
781,1
782,1
783,1
784,1
785,0
786,1
787,1
788,0
789,0
790,1
791,0
792,0
793,1
794,1
795,1
796,0
797,1
798,0
799,1
800,0
801,1
802,1
803,0
804,1
805,0
806,0
807,1
808,1
809,1
810,0
811,1
812,1
813,1
814,1
815,0
816,1
817,0
818,1
819,0
820,1
821,1
822,1
823,0
824,0
825,1
826,1
827,1
828,1
829,1
830,0
831,1
832,1
833,1
834,1
835,1
836,1
837,1
838,0
839,1
840,1
841,1
842,0
843,1
844,1
845,1
846,0
847,1
848,1
849,1
850,0
851,1
852,1
853,1
854,1
855,0
856,1
857,0
858,0
859,1
860,1
861,1
862,1
863,0
864,1
865,0
866,0
867,1
868,0
869,1
870,0
871,1
872,0
873,1
874,0
875,1
876,1
877,0
878,1
879,1
880,1
881,1
882,1
883,1
884,1
885,1
886,0
887,0
888,0
889,0
890,1
891,0
892,1
893,0
894,0
895,0
896,0
897,0
898,1
899,1
